DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
10-Dec-2025,4,9,26,35,42,46,38,6,Lotto 2,,3127
06-Dec-2025,5,7,10,17,32,42,40,5,Lotto 2,,3126
03-Dec-2025,6,13,19,48,57,58,1,5,Lotto 2,,3125
29-Nov-2025,2,6,9,16,38,48,46,10,Lotto 2,,3124
26-Nov-2025,10,21,49,54,55,56,40,10,Lotto 2,,3123
22-Nov-2025,9,11,14,43,49,59,35,9,Lotto 2,,3122
19-Nov-2025,15,18,36,50,51,57,10,9,Lotto 2,,3121
15-Nov-2025,9,11,27,44,48,52,25,6,Lotto 2,,3120
12-Nov-2025,9,17,31,34,54,57,7,6,Lotto 2,,3119
08-Nov-2025,2,3,42,45,46,47,44,9,Lotto 2,,3118
05-Nov-2025,2,15,20,42,43,59,16,9,Lotto 2,,3117
01-Nov-2025,17,18,31,36,39,51,29,10,Lotto 2,,3116
29-Oct-2025,9,24,30,33,35,54,32,10,Lotto 2,,3115
25-Oct-2025,4,9,28,40,42,59,55,9,Lotto 1,,3114
22-Oct-2025,3,24,26,34,35,36,9,9,Lotto 1,,3113
18-Oct-2025,6,39,43,52,58,59,19,6,Lotto 2,,3112
15-Oct-2025,29,33,36,38,48,58,52,6,2,,3111
11-Oct-2025,11,17,25,31,51,54,53,5,Lotto 2,,3110
08-Oct-2025,2,21,42,48,56,57,51,5,Lotto 2,,3109
04-Oct-2025,6,8,12,33,49,59,42,1,Lotto 2,,3108
01-Oct-2025,13,28,31,39,51,59,27,1,Lotto 2,,3107
27-Sep-2025,15,23,24,28,37,41,59,4,Lotto 2,,3106
24-Sep-2025,3,16,23,30,38,47,25,4,Lotto 2,,3105
20-Sep-2025,13,16,30,36,53,59,22,3,Lotto 2,,3104
17-Sep-2025,7,9,18,24,30,36,42,3,Lotto 2,,3103
13-Sep-2025,1,26,36,49,53,54,10,2,Lotto 2,,3102
10-Sep-2025,1,9,18,27,38,42,13,2,Lotto 2,,3101
06-Sep-2025,10,22,37,40,45,57,24,1,Lotto 2,,3100
03-Sep-2025,7,15,18,22,31,54,28,1,Lotto 2,,3099
30-Aug-2025,6,10,19,20,43,59,16,4,Lotto 2,,3098
27-Aug-2025,5,25,43,45,47,55,58,4,Lotto 2,,3097
23-Aug-2025,7,30,38,42,54,59,5,3,Lotto 2,,3096
20-Aug-2025,1,9,10,32,44,55,49,3,Lotto 2,,3095
16-Aug-2025,1,11,15,19,45,48,37,2,Lotto 2,,3094
13-Aug-2025,1,16,27,41,50,55,54,2,Lotto 2,,3093
09-Aug-2025,2,27,29,38,44,51,23,3,Lotto 2,,3092
06-Aug-2025,5,9,17,31,47,58,35,3,Lotto 2,,3091
02-Aug-2025,33,1,5,10,30,50,56,4,Lotto 2,,3090
30-Jul-2025,37,3,21,5,18,7,38,4,Lotto 2,,3089
26-Jul-2025,28,42,24,57,23,9,18,1,Lotto 2,,3088
23-Jul-2025,48,3,11,21,16,9,22,1,Lotto 2,,3087
19-Jul-2025,25,46,5,7,29,40,15,2,Lotto 2,,3086
16-Jul-2025,6,47,55,12,9,15,56,2,Lotto 2,,3085
12-Jul-2025,41,11,25,4,51,17,14,1,Lotto 2,,3084
09-Jul-2025,51,12,15,25,58,6,57,1,Lotto 2,,3083
05-Jul-2025,45,37,43,9,18,12,15,10,Lancelot,,3082
02-Jul-2025,34,51,54,55,11,4,57,10,Lancelot,,3081
28-Jun-2025,17,40,22,47,38,16,4,9,Guinevere,,3080
25-Jun-2025,21,54,14,49,16,42,41,9,Guinevere,,3079
21-Jun-2025,58,31,13,12,10,6,15,10,Guinevere,,3078
18-Jun-2025,44,8,15,49,31,38,59,10,Guinevere,,3077